Listagem dos Municípios portugueses: websites e histórico de versões no Arquivo.pt - 15-06-2021,,,,,,,,,,,,,,,,
"Fonte: Associação Nacional de Municípios Portugueses, Portal Autárquico – Direção-Geral das Autarquias Locais",,,,,,,,,,,,,,,,
Distrito,Município,Endereço (URL) do Website - online na Web,"URL - endereço para histórico
 de versões no Arquivo.pt","Município com link para histórico de
versões no Arquivo.pt ",Municípios no Facebook (geralmente fora do âmbito das recolhas do Arquivo.pt),,,,,,,,,,,
ÉVORA,Montemor-o-Novo,http://www.cm-montemornovo.pt,https://arquivo.pt/wayback/http://www.cm-montemornovo.pt,Montemor-o-Novo,https://www.facebook.com/municipio.montemornovo/,,,,,,,,,,,
ÉVORA,Mora,http://www.cm-mora.pt,https://arquivo.pt/wayback/http://www.cm-mora.pt,Mora,https://www.facebook.com/camaramunicipalmora/,,,,,,,,,,,
ÉVORA,Moura,http://www.cm-moura.pt,https://arquivo.pt/wayback/http://www.cm-moura.pt,Moura,https://www.facebook.com/C%C3%A2mara-Municipal-de-Moura-1850124615213222/,,,,,,,,,,,
ÉVORA,Mourão,http://www.cm-mourao.pt,https://arquivo.pt/wayback/http://www.cm-mourao.pt,Mourão,https://www.facebook.com/municipio.mourao/,,,,,,,,,,,
ÉVORA,Portel,http://www.cm-portel.pt,https://arquivo.pt/wayback/http://www.cm-portel.pt,Portel,,,,,,,,,,,,
ÉVORA,Redondo,http://www.cm-redondo.pt,https://arquivo.pt/wayback/http://www.cm-redondo.pt,Redondo,https://www.facebook.com/MunicipioDeRedondo/,,,,,,,,,,,
ÉVORA,Reguengos de Monsaraz,http://www.cm-reguengos-monsaraz.pt,https://arquivo.pt/wayback/http://www.cm-reguengos-monsaraz.pt,Reguengos de Monsaraz,,,,,,,,,,,,
ÉVORA,Vendas Novas,http://www.cm-vendasnovas.pt,https://arquivo.pt/wayback/http://www.cm-vendasnovas.pt,Vendas Novas,https://www.facebook.com/municipiodevendasnovas/,,,,,,,,,,,
ÉVORA,Viana do Alentejo,http://www.cm-vianadoalentejo.pt,https://arquivo.pt/wayback/http://www.cm-vianadoalentejo.pt,Viana do Alentejo,https://www.facebook.com/municipiovianadoalentejo/,,,,,,,,,,,
ÉVORA,Vidigueira,http://www.cm-vidigueira.pt,https://arquivo.pt/wayback/http://www.cm-vidigueira.pt,Vidigueira,https://www.facebook.com/municipiovidigueira/,,,,,,,,,,,
